Realistic,Investigate,Artistic,Social,Enterprising,Conventional,Naturalist,Spatial,Linguistic,Intrapersonal,Bodily-Kinesthetic,Musical,Logical-mathematical,Interpersonal,Math,English,Science,Social Science,Class
0,0,1,1,1,0,0,1,0,1,0,1,0,0,84,91,93,86,2
0,1,0,1,1,0,0,0,1,0,1,0,0,1,87,91,85,88,2
1,0,1,0,1,0,1,0,1,1,0,0,0,0,90,92,91,90,4
0,1,0,1,1,0,0,1,0,1,0,0,1,0,91,89,89,88,1
0,1,0,0,1,1,1,1,1,0,0,0,0,0,89,92,89,87,3
1,0,0,0,1,1,1,0,0,0,0,0,1,1,90,92,89,87,3
1,0,1,0,1,0,1,0,0,1,0,1,0,0,91,96,92,95,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,91,90,88,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,90,88,87,1
0,0,0,1,1,1,1,0,0,0,0,1,0,1,94,98,91,95,4
0,1,0,0,1,1,0,1,0,0,0,1,1,1,94,89,88,88,3
0,0,1,1,0,1,1,1,0,0,0,1,0,0,89,94,86,92,2
1,1,0,0,0,1,1,0,1,1,0,0,0,0,80,95,90,87,4
1,1,0,1,0,0,0,1,0,1,0,0,1,0,91,89,89,88,1
1,1,1,0,0,0,1,0,1,0,0,0,0,1,83,93,88,92,2
0,1,1,1,0,0,0,1,0,1,0,0,1,0,92,90,91,89,1
1,0,0,1,0,1,0,1,1,0,0,0,0,1,90,91,89,88,4
0,0,0,1,1,1,0,0,1,1,0,0,0,1,88,88,88,87,4
0,1,0,0,1,1,1,0,0,1,0,0,0,1,89,92,87,87,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,92,90,91,89,4
1,1,0,0,1,0,0,1,0,1,0,0,1,0,86,81,84,87,1
1,1,0,1,0,0,0,0,1,0,1,0,0,1,85,93,93,95,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,91,90,90,4
0,0,1,1,0,1,0,1,0,1,0,1,0,0,85,95,91,88,2
0,0,1,1,0,1,0,0,1,0,1,0,0,1,91,92,88,86,2
1,1,0,0,0,1,0,0,0,1,0,1,1,0,90,90,88,87,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,85,90,86,88,4
0,0,1,1,1,0,0,0,0,0,1,1,1,0,90,96,89,88,2
1,1,0,0,0,1,1,1,0,0,0,0,1,0,92,91,89,89,1
1,1,1,0,0,0,0,0,1,1,0,0,1,0,86,94,89,87,2
0,1,0,0,1,1,0,0,0,0,0,0,1,1,92,90,89,92,3
0,0,1,1,0,1,0,0,1,0,1,0,0,1,87,97,91,93,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,92,87,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,89,90,89,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,93,89,89,3
0,1,0,0,1,1,1,0,1,0,0,0,1,1,91,90,87,87,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,89,97,88,3
1,1,0,0,0,1,1,0,1,0,0,0,0,1,94,95,89,87,2
1,0,0,1,0,1,1,0,0,1,0,0,0,1,89,91,88,87,1
0,1,0,1,1,0,0,0,0,0,0,1,1,1,93,92,91,91,3
0,1,0,1,1,0,0,0,1,0,1,0,1,0,93,96,93,93,2
0,0,1,1,0,1,1,0,0,1,0,1,0,0,84,92,89,91,2
1,1,0,0,0,1,0,0,0,0,1,1,1,0,92,91,89,89,1
1,0,1,0,1,0,1,0,1,1,0,0,0,0,84,96,90,88,4
1,0,0,0,1,1,0,1,0,1,0,0,1,0,91,89,89,88,1
0,0,1,1,0,1,1,0,1,0,0,0,0,1,83,92,92,96,2
1,1,0,0,0,1,1,0,0,1,0,0,0,1,90,89,91,88,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,94,94,91,90,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,93,89,89,3
1,1,0,0,1,0,1,0,1,0,0,0,0,1,87,88,86,86,3
1,0,0,0,1,1,0,0,1,0,0,0,1,1,90,88,87,88,3
1,1,0,0,1,0,1,0,0,0,1,0,0,1,92,93,93,85,3
